#########################################
#
# wikipedia-en.txt
#
#########################################
@lang=en
#########################################
Daniels, A. Polak|A._Polak_Daniels
Turiansky, Myroslav|Myroslav_Turiansky
Kosintseva, Nadezhda|Nadezhda_Kosintseva
Alexandria, Nana|Nana_Alexandria
Dzagnidze, Nana|Nana_Dzagnidze
Ioseliani, Nana|Nana_Ioseliani
Khoudgarian, Natalia|Natalia_Khoudgarian
Pogonina, Natalia|Natalia_Pogonina
Zhukova, Natalia|Natalia_Zhukova
Birnboim, Nathan|Nathan_Birnboim
Divinsky, Nathan|Nathan_Divinsky
Levin, Naum|Naum_Levin
Starr, Nava|Nava_Starr
McDonald, Neil|Neil_McDonald_%28chess_player%29
Son, Nguyen Ngoc Truong|Nguyen_Ngoc_Truong_Son
Hua, Ni|Ni_Hua
Morshed, Niaz|Niaz_Morshed
MacLeod, Nicholas|Nicholas_MacLeod
Pert, Nicholas|Nicholas_Pert
Pert, Nick|Nick_Pert
Firmian, Nick de|Nick_de_Firmian
Cortlever, Nicolaas|Nicolaas_Cortlever
Jasnogrodsky, Nicolai|Nicolai_Jasnogrodsky
Rossolimo, Nicolas|Nicolas_Rossolimo
Davies, Nigel|Nigel_Davies_%28chess_player%29
Short, Nigel|Nigel_Short
Vitiugov, Nikita|Nikita_Vitiugov
Padevsky, Nikola|Nikola_Padevsky
Krogius, Nikolai|Nikolai_Krogius
Riumin, Nikolai|Nikolai_Riumin
Zubarev, Nikolai|Nikolai_Zubarev
Stanec, Nikolaus|Nikolaus_Stanec
Grigoriev, Nikolay|Nikolay_Grigoriev
Minev, Nikolay|Nikolay_Minev
Novotelnov, Nikolay|Nikolay_Novotelnov
Rudnev, Nikoly|Nikoly_Rudnev
Bergkvist, Nils|Nils_Bergkvist
Chunhong, Ning|Ning_Chunhong
Khurtsidze, Nino|Nino_Khurtsidze
Gaprindashvili, Nona|Nona_Gaprindashvili
Lessing, Norman|Norman_Lessing
Whitaker, Norman Tweed|Norman_Tweed_Whitaker
Lennep, Norman van|Norman_van_Lennep
Miezis, Normunds|Normunds_Miezis
Rashkovsky, Nukhim|Nukhim_Rashkovsky
Cvitan, Ognjen|Ognjen_Cvitan
Barda, Olaf|Olaf_Barda
Sepp, Olav|Olav_Sepp
Yepez, Olavo|Olavo_Yepez
Duras, Oldrich|Oldrich_Duras
Neikirch, Oleg|Oleg_Neikirch
Romanishin, Oleg|Oleg_Romanishin
Boytsun, Olena|Olena_Boytsun
Menchik, Olga|Olga_Menchik
Rubtsova, Olga|Olga_Rubtsova
Kinnmark, Olof|Olof_Kinnmark
Krause, Orla Hermann|Orla_Hermann_Krause
Sarapu, Ortvin|Ortvin_Sarapu
Blum, Oscar|Oscar_Blum
Chajes, Oscar|Oscar_Chajes
Panno, Oscar|Oscar_Panno
Quinones, Oscar|Oscar_Quinones
Tenner, Oscar|Oscar_Tenner
Antze, Oskar|Oskar_Antze
Naegeli, Oskar|Oskar_Naegeli
Kaila, Osmo|Osmo_Kaila
Bernstein, Ossip|Ossip_Bernstein
Zambrana, Oswaldo|Oswaldo_Zambrana
Blathy, Otto|Ott%C3%B3_Bl%C3%A1thy
Junge, Otto|Otto_Junge
Loewenborg, Otto|Otto_L%C3%B6wenborg
Wegemund, Otto|Otto_Wegemund
Zimmermann, Otto|Otto_Zimmermann
Kinnmark, Ove|Ove_Kinnmark
Nedeljkovic, Ozren|Ozren_Nedeljkovi%C4%87
Ricardi, Pablo|Pablo_Ricardi
Zarnicki, Pablo|Pablo_Zarnicki
Benko, Pal|Pal_Benko
Rethy, Pal|P%C3%A1l_R%C3%A9thy
Boi, Paolo|Paolo_Boi
Negi, Parimarjan|Parimarjan_Negi
Charbonneau, Pascal|Pascal_Charbonneau
Wolff, Patrick|Patrick_Wolff
Baender, Paul|Paul_Baender
Devos, Paul|Paul_Devos
Schmidt, Paul Felix|Paul_Felix_Schmidt
Johner, Paul|Paul_Johner
Keres, Paul|Paul_Keres
Klein, Paul|Paul_Klein_%28chess_player%29
Krueger, Paul|Paul_Kr%C3%BCger_%28chess_player%29
Lipke, Paul|Paul_Lipke
List, Paul|Paul_List
Michel, Paul|Paul_Michel_%28chess_player%29
Morphy, Paul|Paul_Morphy
Motwani, Paul|Paul_Motwani
Mross, Paul|Paul_Mross
Bilguer, Paul Rudolf von|Paul_Rudolf_von_Bilguer
Leonhardt, Paul Saladin|Paul_Saladin_Leonhardt
Truong, Paul|Paul_Truong
Sterren, Paul van der|Paul_van_der_Sterren
Wolf-Kalmar, Paula|Paula_Wolf-Kalmar
Schwartzmann, Paulette|Paulette_Schwartzmann
Frydman, Paulino|Paulino_Frydman
Eljanov, Pavel|Pavel_Eljanov
Kotsur, Pavel|Pavel_Kotsur
Tregubov, Pavel|Pavel_Tregubov
Damiano, Pedro|Pedro_Damiano
Harikrishna, Pendyala|Pendyala_Harikrishna
Xiaomin, Peng|Peng_Xiaomin
Zhaoqin, Peng|Peng_Zhaoqin
Harikrishna, Pentala|Pentala_Harikrishna
Popovic, Petar|Petar_Popovic
Trifunovic, Petar|Petar_Trifunovi%C4%87
Velikov, Petar|Petar_Velikov
Acs, Peter|Peter_Acs
Saburov, Peter Alexandrovich|Peter_Alexandrovich_Saburov
Biyiasas, Peter|Peter_Biyiasas
Nielsen, Peter Heine|Peter_Heine_Nielsen
Leepin, Peter|Peter_Leepin
Lee, Peter|Peter_Lee_%28chess_player%29
Leko, Peter|Peter_Leko
Millican, Peter|Peter_Millican
Saburov, Peter Petrovich|Peter_Petrovich_Saburov
Potemkine, Peter|Peter_Potemkine
Romanovsky, Peter|Peter_Romanovsky
Svidler, Peter|Peter_Svidler
Wells, Peter|Peter_Wells_%28chess_player%29
Winston, Peter|Peter_Winston
Yurdansky, Peter|Peter_Yurdansky
Velicka, Petr|Petr_Veli%C4%8Dka
Sergeant, Philip Walsingham|Philip_Walsingham_Sergeant
Hirschfeld, Philipp|Philipp_Hirschfeld
Meitner, Philipp|Philipp_Meitner
Stamma, Phillip|Phillip_Stamma
Cramling, Pia|Pia_Cramling
Saint-Amant, Pierre Charles Fournier de|Pierre_Charles_Fournier_de_Saint-Amant
Carrera, Pietro|Pietro_Carrera
Murdzia, Piotr|Piotr_Murdzia
Carlsson, Pontus|Pontus_Carlsson
Tautvaisas, Povilas|Povilas_Tautvai%C5%A1as
Vaitonis, Povilas|Povilas_Vaitonis
Thipsay, Praveen|Praveen_Thipsay
Nikolic, Predrag|Predrag_Nikoli%C4%87
Ostojic, Predrag|Predrag_Ostoji%C4%87
Ware, Preston|Preston_Ware
Jingxuan, Qi|Qi_Jingxuan
Kanying, Qin|Qin_Kanying
Kieseritzky, R.K.|R.K._Kieseritzky
Persitz, Raaphi|Raaphi_Persitz
Wojtaszek, Radoslaw|Radoslaw_Wojtaszek
Leitao, Rafael|Rafael_Leit%C3%A3o
Vaganian, Rafael|Rafael_Vaganian
Feinmesser, Rafal|Rafal_Feinmesser
Garcia, Raimundo|Raimundo_Garcia
Knaak, Rainer|Rainer_Knaak
Eidelson, Rakhil|Rakhil_Eidelson
Akesson, Ralf|Ralf_Akesson
Soffer, Ram|Ram_Soffer
Ramesh, Ramachandran|Ramachandran_Ramesh
Ardid, Ramon Rey|Ram%C3%B3n_Rey_Ardid
Hamid, Rani|Rani_Hamid
Falk, Raphael|Raphael_Falk
Nezhmetdinov, Rashid|Rashid_Nezhmetdinov
Kholmov, Ratmir|Ratmir_Kholmov
Mammadov, Rauf|Rauf_Mammadov
Sanguineti, Raul|Ra%C3%BAl_Sanguineti
Sanguinetti, Raul|Raul_Sanguinetti
Robson, Ray|Ray_Robson
Keene, Raymond|Raymond_Keene
Bin-Sattar, Reefat|Reefat_Bin-Sattar
Gerlecka, Regina|Regina_Gerlecka
Michell, Reginald Price|Reginald_Price_Michell
Naranja, Renato|Renato_Naranja
Letelier, Rene|Ren%C3%A9_Letelier
Fine, Reuben|Reuben_Fine
Griffith, Richard|Richard_Griffith_%28chess_player%29
Palliser, Richard|Richard_Palliser
Reti, Richard|Richard_R%C3%A9ti
Teichmann, Richard|Richard_Teichmann
Mascarinas, Rico|Rico_Mascarinas
Byrne, Robert|Robert_Byrne
Crepeaux, Robert|Robert_Cr%C3%A9peaux
Barnes, Robert Henry|Robert_Henry_Barnes
Hess, Robert|Robert_Hess_%28chess_player%29
Huebner, Robert|Robert_H%C3%BCbner
Fischer, Robert James|Robert_James_Fischer
Kempinski, Robert|Robert_Kempi%C5%84ski
Markus, Robert|Robert_Markus
Wade, Robert|Robert_Wade_%28chess_player%29
Cifuentes, Roberto|Roberto_Cifuentes
Grau, Roberto|Roberto_Grau
Smith, Robin|Robin_Smith_%28chess_player%29
Cardoso, Rodolfo Tan|Rodolfo_Tan_Cardoso
Flores, Rodrigo|Rodrigo_Flores
Jr., Rogelio Antonio,|Rogelio_Antonio,_Jr.
Khadilkar, Rohini|Rohini_Khadilkar
Schmaltz, Roland|Roland_Schmaltz
Illa, Rolando|Rolando_Illa
Dzindzichashvili, Roman|Roman_Dzindzichashvili
Pelts, Roman|Roman_Pelts
Slobodjan, Roman|Roman_Slobodjan
Arlauskas, Romanas|Romanas_Arlauskas
Henley, Ron|Ron_Henley
Har-Zvi, Ronen|Ronen_Har-Zvi
Jr., Rosendo Balinas,|Rosendo_Balinas,_Jr.
Fyllingen, Roy|Roy_Fyllingen
Black, Roy Turnbull|Roy_Turnbull_Black
Herman, Roza|R%C3%B3%C5%BCa_Herman
Lufei, Ruan|Ruan_Lufei
Felgaer, Ruben|Rub%C3%A9n_Felgaer
Charousek, Rudolf|Rudolf_Charousek
Keller, Rudolf|Rudolf_Keller
Loman, Rudolf|Rudolf_Loman
Palme, Rudolf|Rudolf_Palme
Pitschak, Rudolf|Rudolf_Pitschak
Spielmann, Rudolf|Rudolf_Spielmann
Swiderski, Rudolf|Rudolf_Swiderski
Teschner, Rudolf|Rudolf_Teschner
Pokorny, Rudolph|Rudolph_Pokorny
Sze, Rudolph|Rudolph_Sze
Djurhuus, Rune|Rune_Djurhuus
Ponomariov, Ruslan|Ruslan_Ponomariov
Kasimdzhanov, Rustam|Rustam_Kasimdzhanov
Dautov, Rustem|Rustem_Dautov
Goletiani, Rusudan|Rusudan_Goletiani
Cardoso, Ruth Volgl|Ruth_Volgl_Cardoso
Segura, Ruy Lopez de|Ruy_L%C3%B3pez_de_Segura
Palmer, Ryan|Ryan_Palmer
Rootare, Salme|Salme_Rootare
Flohr, Salo|Salo_Flohr
Landau, Salo|Salo_Landau
Reischer, Salome|Salome_Reischer
Langleben, Salomon|Salomon_Langleben
Szapiro, Salomon|Salomon_Szapiro
Loyd, Sam|Sam_Loyd
Palatnik, Sam|Sam_Palatnik
Fajarowicz, Sammi|Sammi_Fajarowicz
Boden, Samuel|Samuel_Boden
Factor, Samuel|Samuel_Factor
Gold, Samuel|Samuel_Gold
Lipschuetz, Samuel|Samuel_Lipsch%C3%BCtz
Mieses, Samuel|Samuel_Mieses
Reshevsky, Samuel|Samuel_Reshevsky
Rosenthal, Samuel|Samuel_Rosenthal
Schweber, Samuel|Samuel_Schweber
Vainshtein, Samuil|Samuil_Vainshtein
Chanda, Sandipan|Sandipan_Chanda
Takacs, Sandor|S%C3%A1ndor_Tak%C3%A1cs
Sulskis, Sarunas|%C5%A0ar%C5%ABnas_%C5%A0ulskis
Tartakower, Savielly|Savielly_Tartakower
Franklin, Selim|Selim_Franklin_%28chess_player%29
Furman, Semyon|Semyon_Furman
Dubois, Serafino|Serafino_Dubois
Rubanraut, Serge|Serge_Rubanraut
Makarichev, Sergei|Sergei_Makarichev
Movsesian, Sergei|Sergei_Movsesian
Rublevsky, Sergei|Sergei_Rublevsky
Shipov, Sergei|Sergei_Shipov
Tiviakov, Sergei|Sergei_Tiviakov
Belavenets, Sergey|Sergey_Belavenets
Dolmatov, Sergey|Sergey_Dolmatov
Karjakin, Sergey|Sergey_Karjakin
Kudrin, Sergey|Sergey_Kudrin
Lebedev, Sergey|Sergey_Lebedev
Smagin, Sergey|Sergey_Smagin
Volkov, Sergey Viktorovich|Sergey_Viktorovich_Volkov
Volkov, Sergey|Sergey_Volkov_%28chess%29
Zagrebelny, Sergey|Sergey_Zagrebelny
Freymann, Sergey von|Sergey_von_Freymann
Mariotti, Sergio|Sergio_Mariotti
Samarian, Sergiu|Sergiu_Samarian
Paridar, Shadi|Shadi_Paridar
Mamedyarov, Shakhriyar|Shakhriyar_Mamedyarov
Yang, Shen|Shen_Yang_%28chess_player%29
Kagan, Shimon|Shimon_Kagan
Smiltiner, Shlomo|Shlomo_Smiltiner
Bernstein, Sidney Norman|Sidney_Norman_Bernstein
Tarrasch, Siegbert|Siegbert_Tarrasch
Wolf, Siegfried Reginald|Siegfried_Reginald_Wolf
Beutum, Siegmund|Siegmund_Beutum
Herland, Sigmund|Sigmund_Herland
Danailov, Silvio|Silvio_Danailov
Agdestein, Simen|Simen_Agdestein
Alapin, Simon|Simon_Alapin
Rubinstein, Simon|Simon_Rubinstein
Webb, Simon|Simon_Webb_%28chess_player%29
Lputian, Smbat|Smbat_Lputian
Gotthilf, Solomon|Solomon_Gotthilf
Rozental, Solomon|Solomon_Rozental
Rubinstein, Solomon|Solomon_Rubinstein
Graf, Sonja|Sonja_Graf
Milliet, Sophie|Sophie_Milliet
Crakanthorp, Spencer|Spencer_Crakanthorp
Narayanan, Srinath|Srinath_Narayanan
Sittenfeld, Stanislaus|Stanislaus_Sittenfeld
Kriventsov, Stanislav|Stanislav_Kriventsov
Kohn, Stanislaw|Stanis%C5%82aw_Kohn
Mlotkowski, Stasch|Stasch_Mlotkowski
Erdelyi, Stefan|Stefan_Erd%C3%A9lyi
Fazekas, Stefan|Stefan_Fazekas
Izbinsky, Stefan|Stefan_Izbinsky
Mohr, Stefan|Stefan_Mohr
Turco, Stefano Rosselli del|Stefano_Rosselli_del_Turco
Brynell, Stellan|Stellan_Brynell
Levitsky, Stepan|Stepan_Levitsky
Popel, Stepan|Stepan_Popel
Smith, Stephen Francis|Stephen_Francis_Smith
Gordon, Stephen J.|Stephen_J._Gordon
Lundholm, Stig|Stig_Lundholm
Puc, Stojan|Stojan_Puc
Conquest, Stuart|Stuart_Conquest
Milner-Barry, Stuart|Stuart_Milner-Barry
Atalik, Suat|Suat_Atalik
Vijayalakshmi, Subbaraman|Subbaraman_Vijayalakshmi
Singh, Surjeet|Surjeet_Singh_%28chess_player%29
Ganguly, Surya Shekhar|Surya_Shekhar_Ganguly
Polgar, Susan|Susan_Polgar
Megaranto, Susanto|Susanto_Megaranto
Johannessen, Svein|Svein_Johannessen
Matveeva, Svetlana|Svetlana_Matveeva
Prudnikova, Svetlana|Svetlana_Prudnikova
Gligoric, Svetozar|Svetozar_Gligoric
Winawer, Szymon|Szymon_Winawer
Tylor, T H|T_H_Tylor
Shaked, Tal|Tal_Shaked
Gelashvili, Tamaz|Tamaz_Gelashvili
Chengxuan, Tan|Tan_Chengxuan
Abrahamyan, Tatev|Tatev_Abrahamyan
Kosintseva, Tatiana|Tatiana_Kosintseva
Zatulovskaya, Tatiana|Tatiana_Zatulovskaya
Bosboom-Lanchava, Tea|Tea_Bosboom-Lanchava
Radjabov, Teimour|Teimour_Radjabov
Regedzinski, Teodor|Teodor_Regedzi%C5%84ski
Bergs, Teodors|Teodors_Bergs
Scheltinga, Theo van|Theo_van_Scheltinga
Germann, Theodor|Theodor_Germann
Lichtenhein, Theodor|Theodor_Lichtenhein
Scheve, Theodor von|Theodor_von_Scheve
Thompson, Theophilus|Theophilus_Thompson
Luther, Thomas|Thomas_Luther
Barnes, Thomas Wilson|Thomas_Wilson_Barnes
Tian, Tian|Tian_Tian_%28chess_player%29
Persson, Tiger Hillarp|Tiger_Hillarp_Persson
Kotanjian, Tigran|Tigran_Kotanjian
Petrosian, Tigran L.|Tigran_L._Petrosian
Petrosian, Tigran|Tigran_Petrosian
Drezga, Tihomil|Tihomil_Drezga
Gareev, Timur|Timur_Gareev
Pym, Tom|Tom_Pym
Wedberg, Tom|Tom_Wedberg
Markowski, Tomasz|Tomasz_Markowski_%28chess_player%29
Nyback, Tomi|Tomi_Nyback
Yuanming, Tong|Tong_Yuanming
Oim, Tonu|Tonu_Oim
Miles, Tony|Tony_Miles
Nielsen, Torkil|Torkil_Nielsen
Ueituemen, Tuedeviin|T%C3%BCdeviin_%C3%9Cit%C3%BCmen
Hamarat, Tunc|Tunc_Hamarat
Andersson, Ulf|Ulf_Andersson
Adianto, Utut|Utut_Adianto
Geller, Uzi|Uzi_Geller
Malakhatko, Vadim|Vadim_Malakhatko
Milov, Vadim|Vadim_Milov
Zvjaginsev, Vadim|Vadim_Zvjaginsev
Golubenko, Valentina|Valentina_Golubenko
Kozlovskaya, Valentina|Valentina_Kozlovskaya
Aveskulov, Valeriy|Valeriy_Aveskulov
Chekhov, Valery|Valery_Chekhov
Salov, Valery|Valery_Salov
Akobian, Varuzhan|Varuzhan_Akobian
Spasov, Vasil|Vasil_Spasov
Tomovic, Vasilije|Vasilije_Tomovi%C4%87
Smyslov, Vasily Osipovich|Vasily_Osipovich_Smyslov
Panov, Vasily|Vasily_Panov
Smyslov, Vasily|Vasily_Smyslov
Pirc, Vasja|Vasja_Pirc
Kotronias, Vassilios|Vassilios_Kotronias
Ivanchuk, Vassily|Vassily_Ivanchuk
Menchik, Vera|Vera_Menchik
Nebolsina, Vera|Vera_Nebolsina
Eingorn, Vereslav|Vereslav_Eingorn
Topalov, Veselin|Veselin_Topalov
Misanovic, Vesna|Vesna_Misanovic
Dydyshko, Viacheslav|Viacheslav_Dydyshko
Ragozin, Viacheslav|Viacheslav_Ragozin
Bologan, Victor|Victor_Bologan
Buerger, Victor|Victor_Buerger
Ciocaltea, Victor|Victor_Cioc%C3%A2ltea
Kahn, Victor|Victor_Kahn
Mikhalevski, Victor|Victor_Mikhalevski
Palciauskas, Victor|Victor_Palciauskas
Soultanbeieff, Victor|Victor_Soultanbeieff
Wahltuch, Victor|Victor_Wahltuch
Winz, Victor|Victor_Winz
Malisauskas, Vidmantas|Vidmantas_Malisauskas
Rootare, Vidrik|Vidrik_Rootare
Gavrikov, Viktor|Viktor_Gavrikov
Knorre, Viktor|Viktor_Knorre
Korchnoi, Viktor|Viktor_Korchnoi
Kupreichik, Viktor|Viktor_Kupreichik
Laznicka, Viktor|Viktor_Laznicka
Tietz, Viktor|Viktor_Tietz
Cmilyte, Viktorija|Viktorija_Cmilyte
Pupols, Viktors|Viktors_Pupols
Bhat, Vinay|Vinay_Bhat
Grimm, Vincent|Vincent_Grimm
Hruby, Vincenz|Vincenz_Hruby
Castaldi, Vincenzo|Vincenzo_Castaldi
Nestler, Vincenzo|Vincenzo_Nestler
Fenoglio, Virgilio|Virgilio_Fenoglio
Anand, Viswanathan|Viswanathan_Anand
Golod, Vitali|Vitali_Golod
Chekhover, Vitaly|Vitaly_Chekhover
Halberstadt, Vitaly|Vitaly_Halberstadt
Tseshkovsky, Vitaly|Vitaly_Tseshkovsky
Mikenas, Vladas|Vladas_Mikenas
Afromeev, Vladimir|Vladimir_Afromeev
Akopian, Vladimir|Vladimir_Akopian
Alatortsev, Vladimir|Vladimir_Alatortsev
Antoshin, Vladimir|Vladimir_Antoshin
Bagirov, Vladimir|Vladimir_Bagirov
Baklan, Vladimir|Vladimir_Baklan
Belov, Vladimir|Vladimir_Belov_%28chess_player%29
Bron, Vladimir|Vladimir_Bron
Chuchelov, Vladimir|Vladimir_Chuchelov
Epishin, Vladimir|Vladimir_Epishin
Georgiev, Vladimir|Vladimir_Georgiev_%28chess_player%29
Kovacevic, Vladimir|Vladimir_Kovacevic
Kramnik, Vladimir|Vladimir_Kramnik
Liberzon, Vladimir|Vladimir_Liberzon
Makogonov, Vladimir|Vladimir_Makogonov
Malakhov, Vladimir|Vladimir_Malakhov_%28chess_player%29
Malaniuk, Vladimir|Vladimir_Malaniuk
Nenarokov, Vladimir|Vladimir_Nenarokov
Savon, Vladimir|Vladimir_Savon
Simagin, Vladimir|Vladimir_Simagin
Sournin, Vladimir|Vladimir_Sournin
Tukmakov, Vladimir|Vladimir_Tukmakov
Vukovic, Vladimir|Vladimir_Vukovi%C4%87
Zagorovsky, Vladimir|Vladimir_Zagorovsky
Petrovs, Vladimirs|Vladimirs_Petrovs
Tkachiev, Vladislav|Vladislav_Tkachiev
Hort, Vlastimil|Vlastimil_Hort
Jansa, Vlastimil|Vlastimil_Jansa
Kovacevic, Vlatko|Vlatko_Kova%C4%8Devi%C4%87
Mezgailis, Voldemars|Voldemars_Me%C5%BEgailis
Rauzer, Vsevolod|Vsevolod_Rauzer
Gashimov, Vugar|Vugar_Gashimov
Arencibia, Walter|Walter_Arencibia
Browne, Walter|Walter_Browne
Cruz, Walter|Walter_Cruz
Henneberger, Walter|Walter_Henneberger
John, Walter|Walter_John
Michel, Walter|Walter_Michel
Niephaus, Walter|Walter_Niephaus
Robinow, Walter|Walter_Robinow
Holzhausen, Walther von|Walther_von_Holzhausen
Hao, Wang|Wang_Hao_%28chess_player%29
Lei, Wang|Wang_Lei_%28chess_player%29
Pin, Wang|Wang_Pin
Puchen, Wang|Wang_Puchen
Rui, Wang|Wang_Rui_%28chess_player%29
Yue, Wang|Wang_Yue
Yu, Wang|Wang_Yu_%28chess_player%29
Zili, Wang|Wang_Zili
Adams, Weaver W.|Weaver_W._Adams
Yang, Wen|Wen_Yang_%28chess_player%29
Hug, Werner|Werner_Hug
So, Wesley|Wesley_So
Paulsen, Wilfried|Wilfried_Paulsen
Cohn, Wilhelm|Wilhelm_Cohn
Ernst, Wilhelm|Wilhelm_Ernst_%28chess_player%29
Hanstein, Wilhelm|Wilhelm_Hanstein
Hilse, Wilhelm|Wilhelm_Hilse
Orbach, Wilhelm|Wilhelm_Orbach
Schoenmann, Wilhelm|Wilhelm_Sch%C3%B6nmann
Steinitz, Wilhelm|Wilhelm_Steinitz
Stamm, Wilhelm von|Wilhelm_von_Stamm
Schelfhout, Willem|Willem_Schelfhout
Schlage, Willi|Willi_Schlage
Evans, William Davies|William_Davies_Evans
Napier, William Ewart|William_Ewart_Napier
Fairhurst, William|William_Fairhurst
Hartston, William|William_Hartston
Hook, William|William_Hook
Lombardy, William|William_Lombardy
Pollock, William|William_Pollock_%28chess_player%29
Viner, William Samuel|William_Samuel_Viner
Watson, William|William_Watson_%28chess_player%29
Wayte, William|William_Wayte
Winter, William|William_Winter_%28chess_player%29
Schmidt, Wlodzimierz|Wlodzimierz_Schmidt
Hasenfuss, Wolfgang|Wolfgang_Hasenfuss
Heidenfeld, Wolfgang|Wolfgang_Heidenfeld
Uhlmann, Wolfgang|Wolfgang_Uhlmann
Unzicker, Wolfgang|Wolfgang_Unzicker
Weil, Wolfgang|Wolfgang_Weil
Kong, Wong Meng|Wong_Meng_Kong
Mingqian, Wu|Wu_Mingqian
Shaobin, Wu|Wu_Shaobin
Wenjin, Wu|Wu_Wenjin
Jun, Xie|Xie_Jun
Jun, Xu|Xu_Jun
Yuanyuan, Xu|Xu_Yuanyuan
Yuhua, Xu|Xu_Yuhua_%28chess_player%29
Bernstein, Yaacov|Yaacov_Bernstein
Bleiman, Yaacov|Yaacov_Bleiman
Zilberman, Yaacov|Yaacov_Zilberman
Kraidman, Yair|Yair_Kraidman
Estrin, Yakov|Yakov_Estrin
Vilner, Yakov|Yakov_Vilner
Pelletier, Yannick|Yannick_Pelletier
Seirawan, Yasser|Yasser_Seirawan
Jiangchuan, Ye|Ye_Jiangchuan
Rongguang, Ye|Ye_Rongguang
Gruenfeld, Yehuda|Yehuda_Gruenfeld
Dembo, Yelena|Yelena_Dembo
Hao, Yin|Yin_Hao_%28chess_player%29
Dothan, Yoav|Yoav_Dothan
Aloni, Yoel|Yoel_Aloni
Kosashvili, Yona|Yona_Kosashvili
Dobkin, Yosef|Yosef_Dobkin
Porath, Yosef|Yosef_Porath
Safvat, Yousof|Yousof_Safvat
Shaoteng, Yu|Yu_Shaoteng
Yangyi, Yu|Yu_Yangyi
Averbakh, Yuri|Yuri_Averbakh
Balashov, Yuri|Yuri_Balashov
Drozdovskij, Yuri|Yuri_Drozdovskij
Nikolaevsky, Yuri|Yuri_Nikolaevsky
Razuvayev, Yuri|Yuri_Razuvayev
Sakharov, Yuri|Yuri_Sakharov
Kuzubov, Yuriy|Yuriy_Kuzubov
Dokhoian, Yury|Yury_Dokhoian
Shulman, Yury|Yury_Shulman
Toshev, Yury|Yury_Toshev
Domnitz, Zadok|Zadok_Domnitz
Efimenko, Zahar|Zahar_Efimenko
Andriasian, Zaven|Zaven_Andriasian
Hracek, Zbynek|Zbynek_Hracek
Kozul, Zdenko|Zdenko_Kozul
Milev, Zdravko|Zdravko_Milev
Belsitzmann, Zdzislaw|Zdzis%C5%82aw_Belsitzmann
Franco, Zenon|Zenon_Franco
Jilin, Zhang|Zhang_Jilin
Pengxiang, Zhang|Zhang_Pengxiang
Weida, Zhang|Zhang_Weida
Xiaowen, Zhang|Zhang_Xiaowen
Zhong, Zhang|Zhang_Zhong
Jun, Zhao|Zhao_Jun
Lan, Zhao|Zhao_Lan
Xue, Zhao|Zhao_Xue
Zong-Yuan, Zhao|Zhao_Zong-Yuan
Jianchao, Zhou|Zhou_Jianchao
Weiqi, Zhou|Zhou_Weiqi
Chen, Zhu|Zhu_Chen
Rahman, Ziaur|Ziaur_Rahman_%28chess_player%29
Almasi, Zoltan|Zolt%C3%A1n_Alm%C3%A1si
Gyimesi, Zoltan|Zoltan_Gyimesi
Ribli, Zoltan|Zoltan_Ribli
Sarosy, Zoltan|Zoltan_Sarosy
Varga, Zoltan|Zolt%C3%A1n_Varga_%28chess_player%29
Balla, Zoltan von|Zoltan_von_Balla
Barasz, Zsigmond|Zsigmond_Bar%C3%A1sz
Polgar, Zsofia|Zsofia_Polgar
Polgar, Zsuzsa|Zsuzsa_Polgar
Azmaiparashvili, Zurab|Zurab_Azmaiparashvili
Izoria, Zviad|Zviad_Izoria
Vranesic, Zvonko|Zvonko_Vranesic
