#########################################
#
# wikipedia-en.txt
#
#########################################
@lang=en
#########################################
Daniels, A. Polak|A._Polak_Daniels
Kubbel, Arvid|Arvid_Kubbel
As-Suli|As-Suli
Anastasian, Ashot|Ashot_Anastasian
Nadanian, Ashot|Ashot_Nadanian
Taminsyah, Aston|Aston_Taminsyah
Kolev, Atanas|Atanas_Kolev
Pourkashiyan, Atousa|Atousa_Pourkashiyan
Neumann, Augustin|Augustin_Neumann
Muro, Augusto de|Augusto_de_Muro
Mongredien, Augustus|Augustus_Mongredien
Jobava, Baadur|Baadur_Jobava
Kouatly, Bachar|Bachar_Kouatly
Wolff, Balduin|Balduin_Wolff
Hoenlinger, Baldur|Baldur_H%C3%B6nlinger
Moeller, Baldur|Baldur_M%C3%B6ller
Lasa, Baron Tassilo von Heydebrand und der|Baron_Tassilo_von_Heydebrand_und_der_Lasa
Macieja, Bartlomiej|Bartlomiej_Macieja
Socko, Bartosz|Bartosz_Socko
Wood, Baruch Harold|Baruch_Harold_Wood
Amin, Bassem|Bassem_Amin
Kadziolka, Beata|Beata_K%C4%85dzio%C5%82ka
Marinello, Beatriz|Beatriz_Marinello
Berger, Bela|Bela_Berger
Igla, Bella|Bella_Igla
Finegold, Ben|Ben_Finegold
Ekenberg, Bengt|Bengt_Ekenberg
Vergani, Beniamino|Beniamino_Vergani
Villegas, Benito|Benito_Villegas
Blumenfeld, Benjamin|Benjamin_Blumenfeld
Larsen, Bent|Bent_Larsen
Ostenstad, Berge|Berge_Ostenstad
Carrasco, Berna|Berna_Carrasco
Zuckerman, Bernard|Bernard_Zuckerman
Roselli, Bernardo|Bernardo_Roselli
Wexler, Bernardo|Bernardo_Wexler
Fleissig, Bernhard|Bernhard_Fleissig
Gregory, Bernhard|Bernhard_Gregory
Horwitz, Bernhard|Bernhard_Horwitz
Kagan, Bernhard|Bernhard_Kagan
Englisch, Berthold|Berthold_Englisch
Koch, Berthold|Berthold_Koch
Lasker, Berthold|Berthold_Lasker
Suhle, Berthold|Berthold_Suhle
Yildiz, Betul Cemre|Betul_Cemre_Yildiz
Nielsen, Bjorn|Bj%C3%B8rn_Nielsen
Fischer, Bobby|Bobby_Fischer
Lalic, Bogdan|Bogdan_Lalic
Sliwa, Bogdan|Bogdan_%C5%9Aliwa
Kurajica, Bojan|Bojan_Kurajica
Vuckovic, Bojan|Bojan_Vu%C4%8Dkovi%C4%87
Alterman, Boris|Boris_Alterman
Avrukh, Boris|Boris_Avrukh
Blumin, Boris|Boris_Blumin
Greiff, Boris De|Boris_De_Greiff
Gelfand, Boris|Boris_Gelfand
Gulko, Boris|Boris_Gulko
Kogan, Boris|Boris_Kogan
Kostic, Boris|Boris_Kosti%C4%87
Koyalovich, Boris|Boris_Koyalovich
Kreiman, Boris|Boris_Kreiman
Maliutin, Boris|Boris_Maliutin
Spassky, Boris|Boris_Spassky
Verlinsky, Boris|Boris_Verlinsky
Ivkov, Borislav|Borislav_Ivkov
Kostic, Borislav|Borislav_Kosti%C4%87
Milic, Borislav|Borislav_Milic
Predojevic, Borki|Borki_Predojevic
Dyner, Boruch Israel|Boruch_Israel_Dyner
Ivanovic, Bozidar|Bo%C5%BEidar_Ivanovi%C4%87
Damljanovic, Branko|Branko_Damljanovic
Rabar, Braslav|Braslav_Rabar
Kelly, Brian|Brian_Kelly_%28chess_player%29
Reilly, Brian|Brian_Reilly
Amos, Bruce|Bruce_Amos
Siegheim, Bruno Edgar|Bruno_Edgar_Siegheim
Moritz, Bruno|Bruno_Moritz
Parma, Bruno|Bruno_Parma
Nickoloff, Bryon|Bryon_Nickoloff
Xiangzhi, Bu|Bu_Xiangzhi
Gurgenidze, Bukhuti|Bukhuti_Gurgenidze
Baginskaite, Camilla|Camilla_Baginskaite
Ahues, Carl|Carl_Ahues
Walbrodt, Carl August|Carl_August_Walbrodt
Carls, Carl|Carl_Carls
Schmid, Carl Friedrich|Carl_Friedrich_Schmid
Goering, Carl|Carl_Goering
Hamppe, Carl|Carl_Hamppe
Jaenisch, Carl|Carl_Jaenisch
Mayet, Carl|Carl_Mayet
Schlechter, Carl|Carl_Schlechter
Wemmers, Carl|Carl_Wemmers
Cozio, Carlo|Carlo_Cozio
Bielicki, Carlos|Carlos_Bielicki
Palermo, Carlos Garcia|Carlos_Garcia_Palermo
Guimard, Carlos|Carlos_Guimard
Jauregui, Carlos|Carlos_Jauregui
Maderna, Carlos|Carlos_Maderna
Repetto, Carlos Torre|Carlos_Torre_Repetto
Roodzant, Catharina|Catharina_Roodzant
Warwick, Cathy|Cathy_Warwick
Purdy, Cecil|Cecil_Purdy
Haussernot, Cecile|Cecile_Haussernot
Torriente, Celso Golmayo|Celso_Golmayo_Torriente
Zupide, Celso Golmayo|Celso_Golmayo_Zupide
Kottnauer, Cenek|Cenek_Kottnauer
Boutteville, Cesar|C%C3%A9sar_Boutteville
Munoz, Cesar|C%C3%A9sar_Mu%C3%B1oz
Janowski, Chaim|Chaim_Janowski
Kong, Chan Peng|Chan_Peng_Kong
Sandipan, Chanda|Chanda_Sandipan
Lo, Chang Tung|Chang_Tung_Lo
Silans, Chantal Chaude de|Chantal_Chaude_de_Silans
Jaffe, Charles|Charles_Jaffe
Kalme, Charles|Charles_Kalme
Moehle, Charles|Charles_Moehle
Stanley, Charles|Charles_Stanley_%28Chess_player%29
De, Chen|Chen_De
Cup, Chess World|Chess_World_Cup
Ward, Chris|Chris_Ward_%28chess_player%29
Ronde, Chris de|Chris_de_Ronde
Bauer, Christian|Christian_Bauer
Poulsen, Christian|Christian_Poulsen_%28chess_player%29
Leotard, Christophe|Christophe_L%C3%A9otard
Lutz, Christopher|Christopher_Lutz
Benini, Clarice|Clarice_Benini
Bloodgood, Claude|Claude_Bloodgood
McNab, Colin|Colin_McNab
Alexander, Conel Hugh O'Donel|Conel_Hugh_O%27Donel_Alexander
Burille, Constant Ferdinand|Constant_Ferdinand_Burille
Lupulescu, Constantin|Constantin_Lupulescu
Peptan, Corina|Corina_Peptan
Balogh, Csaba|Csaba_Balogh
Hansen, Curt|Curt_Hansen
Bardeleben, Curt von|Curt_von_Bardeleben
Arngrimsson, Dagur|Dagur_Arngrimsson
Reca, Damian|Damian_Reca
Heisman, Dan|Dan_Heisman
Campora, Daniel|Daniel_C%C3%A1mpora
Elyakim, Daniel|Daniel_Elyakim
Fridman, Daniel|Daniel_Fridman
Harrwitz, Daniel|Daniel_Harrwitz
King, Daniel J.|Daniel_J._King
Naroditsky, Daniel|Daniel_Naroditsky
Noteboom, Daniel|Daniel_Noteboom
Stellwagen, Daniel|Daniel_Stellwagen
Yanofsky, Daniel|Daniel_Yanofsky
Gormally, Danny|Danny_Gormally
Kopec, Danny|Danny_Kopec
Lima, Darcy|Darcy_Lima
Swiercz, Dariusz|Dariusz_Swiercz
Kaps, Darja|Darja_Kap%C5%A1
Sadvakasov, Darmen|Darmen_Sadvakasov
Johansen, Darryl|Darryl_Johansen
Laylo, Darwin|Darwin_Laylo
Baramidze, David|David_Baramidze
Bronstein, David|David_Bronstein
Enoch, David|David_Enoch
Friedgood, David|David_Friedgood
Baird, David Graham|David_Graham_Baird
Howell, David|David_Howell_%28chess_player%29
Levy, David|David_Levy_%28chess_player%29
Navara, David|David_Navara
Norwood, David|David_Norwood
Penkalski, David|David_Penkalski
Podhorzer, David|David_Podhorzer
Polland, David|David_Polland
Goodman, David S.|David_S._Goodman
Smerdon, David|David_Smerdon
Marotti, Davide|Davide_Marotti
Palo, Davor|Davor_Palo
Daniuszewski, Dawid|Dawid_Daniuszewski
Janowski, Dawid|Dawid_Janowski
Przepiorka, Dawid|Dawid_Przepi%C3%B3rka
Hergott, Deen|Deen_Hergott
Antic, Dejan|Dejan_Antic
Barua, Dibyendu|Dibyendu_Barua
Keller, Dieter|Dieter_Keller
Duhm, Dietrich|Dietrich_Duhm
Reinderman, Dimitri|Dimitri_Reinderman
Bjelica, Dimitrije|Dimitrije_Bjelica
Liren, Ding|Ding_Liren
Martinez, Dion|Dion_Martinez
Foreest, Dirk van|Dirk_van_Foreest
Gurevich, Dmitry|Dmitry_Gurevich
Jakovenko, Dmitry|Dmitry_Jakovenko
Ponziani, Domenico|Domenico_Ponziani
Byrne, Donald|Donald_Byrne
Ciric, Dragoljub|Dragoljub_%C4%8Ciri%C4%87
Janosevic, Dragoljub|Dragoljub_Jano%C5%A1evi%C4%87
Minic, Dragoljub|Dragoljub_Mini%C4%87
Velimirovic, Dragoljub|Dragoljub_Velimirovic
Marovic, Drazen|Drazen_Marovic
Sermek, Drazen|Drazen_Sermek
Suttles, Duncan|Duncan_Suttles
Pavasovic, Dusko|Du%C5%A1ko_Pavasovi%C4%8D
Colle, Edgard|Edgard_Colle
Handoko, Edhi|Edhi_Handoko
Price, Edith Charlotte|Edith_Charlotte_Price
Holloway, Edith|Edith_Holloway
Keller-Herrmann, Edith|Edith_Keller-Herrmann
Mednis, Edmar|Edmar_Mednis
Nash, Edmund|Edmund_Nash
Dyckhoff, Eduard|Eduard_Dyckhoff
Glass, Eduard|Eduard_Glass
Gufeld, Eduard|Eduard_Gufeld
Rozentalis, Eduardas|Eduardas_Rozentalis
Kengis, Edvins|Edvins_Kengis
Chamier, Edward|Edward_Chamier
Gerstenfeld, Edward|Edward_Gerstenfeld
Sergeant, Edward Guthlac|Edward_Guthlac_Sergeant
Lasker, Edward|Edward_Lasker
Loewe, Edward|Edward_L%C3%B6we
Boeoek, Eero|Eero_B%C3%B6%C3%B6k
Paloheimo, Eero|Eero_Paloheimo
Bogoljubov, Efim|Efim_Bogoljubov
Geller, Efim|Efim_Geller
Grivas, Efstratios|Efstratios_Grivas
Jacobsen, Egil|Egil_Jacobsen
Varnusz, Egon|Egon_Varnusz
Post, Ehrhardt|Ehrhardt_Post
Maghami, Ehsan Ghaem|Ehsan_Ghaem_Maghami
Ghaem-Maghami, Ehsan|Ehsan_Ghaem-Maghami
Gausel, Einar|Einar_Gausel
Atalik, Ekaterina|Ekaterina_Atalik
Gasanov, Eldar|Eldar_Gasanov
Jimenez, Eleazar|Eleazar_Jimenez
Donaldson, Elena|Elena_Donaldson
Stein, Elias|Elias_Stein_%28chess_player%29
Williams, Elijah|Elijah_Williams
Polihroniade, Elisabeta|Elisabeta_Polihroniade
Bykova, Elisabeth|Elisabeth_Bykova
Paehtz, Elisabeth|Elisabeth_P%C3%A4htz
Shaughnessy, Elizabeth|Elizabeth_Shaughnessy
Gilbert, Ellen|Ellen_Gilbert
Magerramov, Elmar|Elmar_Magerramov
Zemgalis, Elmars|Elmars_Zemgalis
Moradi, Elshan|Elshan_Moradi
Berg, Emanuel|Emanuel_Berg
Guthi, Emanuel|Emanuel_Guthi
Lasker, Emanuel|Emanuel_Lasker
Rubinstein, Emanuel|Emanuel_Rubinstein
Schiffers, Emanuel|Emanuel_Schiffers
Diemer, Emil Josef|Emil_Josef_Diemer
Kemeny, Emil|Emil_Kem%C3%A9ny
Schallopp, Emil|Emil_Schallopp
Sutovsky, Emil|Emil_Sutovsky
Zinner, Emil|Emil_Zinner
Sapira, Emmanuel|Emmanuel_Sapira
Hossain, Enamul|Enamul_Hossain
Steiner, Endre|Endre_Steiner
Paoli, Enrico|Enrico_Paoli
Lobron, Eric|Eric_Lobron
Prie, Eric|%C3%89ric_Pri%C3%A9
Cohn, Erich|Erich_Cohn
Eliskases, Erich|Erich_Eliskases
Andersen, Erik|Erik_Andersen
Lundin, Erik|Erik_Lundin
Klein, Ernest|Ernest_Klein_%28chess_player%29
Pogosyants, Ernest|Ernest_Pogosyants
Inarkiev, Ernesto|Ernesto_Inarkiev
Gereben, Erno|Ern%C5%91_Gereben
Falkbeer, Ernst|Ernst_Falkbeer
Flechsig, Ernst|Ernst_Flechsig
Gruenfeld, Ernst|Ernst_Gr%C3%BCnfeld
Jacobson, Ernst|Ernst_Jacobson
Larsson, Ernst|Ernst_Larsson
Voellmy, Erwin|Erwin_Voellmy
