#########################################
#
# wikipedia-de.txt
#
#########################################
@lang=de
#########################################
Nimzowitsch, Aaron|Aaron_Nimzowitsch
Agamaliyev, Gamil|C%C9%99mil_A%C4%9Famal%C4%B1yev
Kasparov, Garri|Garri_Kimowitsch_Kasparow
Kamsky, Gata|Gata_Kamsky
Barcza, Gedeon|Gedeon_Barcza
Kusmin, Gennadi P|Gennadi_Pawlowitsch_Kusmin
Sosonko, Gennadi|Gennadi_Sosonko
Fish, Gennadij|Gennadij_Fish
Timoscenko, Gennadij|Gennadij_Timo%C5%A1%C4%8Denko
Kieninger, Georg|Georg_Kieninger
Marco, Georg|Georg_Marco
Meier, Georg|Georg_Meier_%28Schachspieler%29
Seul, Georg|Georg_Seul
Siegel, Georg|Georg_Siegel
Mackenzie, George Henry|George_Henry_Mackenzie
Tringow, Georgi P|Georgi_Tringow
Souleidis, Georgios|Georgios_Souleidis
Hertneck, Gerald|Gerald_Hertneck
Barbero, Gerardo F|Gerardo_Barbero
Pfeiffer, Gerhard|Gerhard_Pfeiffer
Schebler, Gerhard|Gerhard_Schebler
Meins, Gerlef|Gerlef_Meins
Weber, Gerold|Gerold_Weber
Baumstark, Gertrude|Gertrude_Baumstark
Maroczy, Geza|G%C3%A9za_Mar%C3%B3czy
Lolli, Giambattista|Giambattista_Lolli
Stahlberg, Gideon|Gideon_St%C3%A5hlberg
Milos, Gilberto|Gilberto_Milos
Cutri, Giovanni Leonardo da|Giovanni_Leonardo_da_Cutri
Vescovi, Giovanni|Giovanni_Vescovi
Fischdick, Gisela|Gisela_Fischdick
Polerio, Giulio Cesare|Giulio_Cesare_Polerio
Flear, Glenn C|Glenn_Flear
Stoltz, Goesta|G%C3%B6sta_Stoltz
Machate, Gottlieb|Gottlieb_Machate
Kaidanov, Gregory S|Gregory_Kaidanov
Pitl, Gregory|Gregory_Pitl
Loewenfisch, Grigori Jakowlewitsch|Grigori_Jakowlewitsch_L%C3%B6wenfisch
Sigurjonsson, Gudmundur|Gu%C3%B0mundur_Sigurj%C3%B3nsson
Kuba, Guenter|G%C3%BCnter_Kuba
Beikert, Guenther|G%C3%BCnther_Beikert
Moehring, Guenther|G%C3%BCnther_M%C3%B6hring
Kern, Guido|Guido_Kern
Garcia Gonzalez, Guillermo|Guillermo_Garc%C3%ADa_Gonz%C3%A1lez
Spiess, Gunter|Gunter_Spie%C3%9F
Neumann, Gustav Richard|Gustav_Richard_Neumann
Forintos, Gyozo V|Gy%C5%91z%C5%91_Forintos
Sax, Gyula|Gyula_Sax
Erenska-Barlo, Hanna|Hanna_Ere%C5%84ska-Barlo
Langrock, Hannes|Hannes_Langrock
Fahrni, Hans|Hans_Fahrni
Geiger, Hans Dr|Hans_Geiger_%28Schachspieler%29
Schudel, Hans Jakob|Hans_Jakob_Schudel
Johner, Hans|Hans_Johner
Kmoch, Hans|Hans_Kmoch
Mueller, Hans AUT|Hans_M%C3%BCller_%28Schachspieler%29
Ree, Hans|Hans_Ree
Staudte, Hans-Hilmar|Hans-Hilmar_Staudte
Sonntag, Hans-Hubert|Hans-Hubert_Sonntag
Hecht, Hans-Joachim|Hans-Joachim_Hecht
Elwert, Hans-Marcus|Hans-Marcus_Elwert
Gruenberg, Hans-Ulrich|Hans-Ulrich_Gr%C3%BCnberg
Groetz, Harald|Harald_Gr%C3%B6tz
Jonkman, Harmen|Harmen_Jonkman
Hunt, Harriet|Harriet_Hunt
Pillsbury, Harry Nelson|Harry_Nelson_Pillsbury
Rossetto, Hector|H%C3%A9ctor_Rossetto
Kallio, Heikki|Heikki_Kallio
Westerinen, Heikki M J|Heikki_Westerinen
Burger, Heinrich|Heinrich_Burger_%28Schachspieler%29
Wagner, Heinrich|Heinrich_Wagner_%28Schachspieler%29
Lehmann, Heinz|Heinz_Lehmann_%28Schachspieler%29
Wirthensohn, Heinz|Heinz_Wirthensohn
Hennig, Heinz von|Heinz_von_Hennig_%28Schachspieler%29
Mira, Helene|Helene_Mira
Gretarsson, Helgi Ass|Helgi_%C3%81ss_Gr%C3%A9tarsson
Olafsson, Helgi|Helgi_%C3%93lafsson
Pfleger, Helmut|Helmut_Pfleger
Danielsen, Henrik|Henrik_Danielsen
Mecking, Henrique da Costa|Henrique_da_Costa_Mecking
Bird, Henry Edward|Henry_Edward_Bird
Grob, Henry|Henry_Grob
Caceres, Henry Urday|Henry_Urday_C%C3%A1ceres
Bastian, Herbert|Herbert_Bastian
Heinicke, Herbert|Herbert_Heinicke
Pilnik, Herman|Herman_Pilnik
Heemsoth, Hermann|Hermann_Heemsoth
Gottschall, Hermann von|Hermann_von_Gottschall
Hamdouchi, Hicham|Hicham_Hamdouchi
Nakamura, Hikaru|Hikaru_Nakamura
Trang, Hoang Thanh|Ho%C3%A0ng_Thanh_Trang
Rittner, Horst|Horst_Rittner
Yifan, Hou|Hou_Yifan
Staunton, Howard|Howard_Staunton
Stevic, Hrvoje|Hrvoje_Stevi%C4%87
Suechting, Hugo|Hugo_S%C3%BCchting
Koneru, Humpy|K._Humpy
Rogers, Ian|Ian_Rogers
Khamrakulov, Ibragim S|Ibragim_Khamrakulov
Saric, Ibro|Ibro_%C5%A0ari%C4%87
Kolisch, Ignaz von|Ignaz_von_Kolisch
Berezovsky, Igor|Igor_Berezovsky
Bondarewski, Igor|Igor_Sacharowitsch_Bondarewski
Glek, Igor|Igor_Wladimirowitsch_Glek
Khenkin, Igor|Igor_Khenkin
Miladinovic, Igor|Igor_Miladinovi%C4%87
Saizew, Igor|Igor_Arkadjewitsch_Saizew
Stohl, Igor|Igor_%C5%A0tohl
Rausis, Igors|Igors_Rausis
Madl, Ildiko|Ildik%C3%B3_M%C3%A1dl
Smirin, Ilia|Ilia_Smirin
Balinow, Ilija|Ilija_Balinow
Brener, Ilja|Ilja_Brener
Schneider, Ilja|Ilja_Schneider
Zaragatski, Ilja|Ilja_Zaragatski
Gurevich, Ilya|Ilya_Gurevich
Hera, Imre Jr|Imre_H%C3%A9ra
Janowskaja, Inna|Inna_Janowskaja
Krush, Irina|Irina_Krush
Levitina, Irina|Irina_Levitina
Kashdan, Isaac|Isaac_Kashdan
Boleslawski, Isaak|Isaak_Efremowitsch_Boleslawski
Gunsberg, Isidor|Isidor_Gunsberg
Bilek, Istvan|Istv%C3%A1n_Bilek
Csom, Istvan|Istv%C3%A1n_Csom
Iulia-Ionela Ionicia-Ionela_Ionic%C7%8E
Farago, Ivan|Iv%C3%A1n_Farag%C3%B3
Nemet, Ivan|Ivan_Nemet
Sokolov, Ivan|Ivan_Sokolov
Donev, Ivo|Ivo_Donev
Radulow, Iwan|Iwan_Radulow
Tscheparinow, Iwan|Iwan_Tscheparinow
Rajlich, Iweta|Iweta_Rajlich
Ehlvest, Jaan|Jaan_Ehlvest
Gdanski, Jacek|Jacek_Gda%C5%84ski
Showalter, Jackson Whipps|Jackson_Whipps_Showalter
Aagaard, Jacob|Jacob_Aagaard
Sarratt, Jacob Henry|Jacob_Henry_Sarratt
Murey, Jacob|Jacob_Murey
Yuchtman, Jacob|Jacob_Yuchtman
Mieses, Jacques|Jacques_Mieses
Balcerak, Jakob|Jakob_Balcerak
Heissler, Jakob|Jakob_Heissler
Mason, James|James_Mason
Tarjan, James|James_Tarjan
Gustafsson, Jan|Jan_Gustafsson
Markos, Jan|J%C3%A1n_Marko%C5%A1
Sprenger, Jan Michael|Jan_Michael_Sprenger
Nepomnjaschtschi, Jan|Jan_Nepomnjaschtschi
Plachetka, Jan|J%C3%A1n_Plachetka
Smeets, Jan|Jan_Smeets
Smejkal, Jan|Jan_Smejkal
Timman, Jan|Jan_Timman
Votava, Jan|Jan_Votava
Bellin, Jana|Jana_Bellin
Klovans, Janis|J%C4%81nis_Klov%C4%81ns
Dufresne, Jean|Jean_Dufresne
Korbut, Jekaterina|Jekaterina_Walerjewna_Korbut
